EN,FR
he is sure of winning .,il est sur de gagner .
he is regretting his action .,il regrette son acte .
he is proud of his family .,il est fier de sa famille .
he is aware of his own fault .,il est conscient de sa faute .
he is carrying out experiments in his laboratory .,il entreprend des experiences dans son laboratoire .
he is pleased with his work .,son travail lui plait .
he is planning to launch his business .,il projette de lancer son entreprise .
he is sure of success .,il est sur de reussir .
he is sure of success .,il est sur de son succes .
he is afraid of his father .,il a peur de son pere .
he is acting on his own behalf .,il agit en son nom propre .
he is free to spend his money .,il est libre de depenser son argent .
he is now on his own .,il est desormais a son compte .
he is clever indeed .,il est vraiment intelligent .
he is good at taking photos .,il est doue pour prendre des photos .
he is a danger to society .,il est un danger pour la societe .
he is very sociable .,il est tres sociable .
he is the boss s private secretary .,c est le secretaire particulier du patron .
he is bad at driving .,c est un mauvais conducteur .
he is washing the car .,il est en train de laver la voiture .
he is washing a car .,il nettoie une voiture .
he is young but experienced .,il est jeune mais a de l experience .
he is young and what is more handsome .,il est jeune et qui plus est beau .
he is clumsy with his hands .,il est maladroit de ses mains .
he s bound hand and foot .,il est pieds et poings lies .
he is wearing gloves .,il porte des gants .
he is a man of ability .,c est un homme habile .
he is old enough to drink .,il est assez vieux pour boire .
he is old enough to drink .,il est assez age pour boire .
he is paid by the week .,il touche un salaire hebdomadaire .
he is suffering from a serious illness .,il souffre d une maladie grave .
he is accustomed to hard work .,il a l habitude de travailler dur .
he is in his library .,il est dans sa bibliotheque .
he is a woman hater .,il est misogyne .
he is rich enough to keep a servant .,il est assez riche pour avoir un domestique .
he is still green in business .,c est encore un bleu en affaires .
he is planning to develop his business .,il prevoit de developper son affaire .
he is likely to win the scholarship .,il devrait obtenir une bourse d etude .
he is a promising young businessman .,c est un jeune homme d affaires prometteur .
he is a novelist and poet .,il est ecrivain et poete .
he is a critic rather than a novelist .,il est critique plutot que romancier .
he is a novelist and artist .,c est un romancier et un artiste .
he is getting better bit by bit .,il s ameliore petit a petit .
he is no kind of musician .,il n a rien d un musicien .
he s a bit of a drunkard .,il est un peu alcoolique .
he is said to have been strong .,on dit qu il etait fort .
he is a man of warm heart .,c est un homme chaleureux .
he is seeking employment .,il cherche un emploi .
he is very fond of eating .,il aime beaucoup manger .
he is eating .,il est en train de manger .
he is lazy .,il est faineant .
he is lazy .,il est paresseux .
he s thrilled with his new job .,il est enthousiasme par son nouveau travail .
he is working on a new novel .,il travaille sur un nouveau roman .
he is a gentleman .,c est un gentleman .
he is a gentleman .,il est un gentleman .
he is no gentleman .,ce n est pas un gentleman .
he is my close friend .,c est mon ami intime .
he is staying with his relatives .,il reste avec sa famille .
he is kindness itself .,il est la gentillesse meme .
he is a kind and nice fellow .,c est un type gentil et sympa .
he is a kind boy .,c est un gentil garcon .
he is independent of his parents .,il ne depend pas de ses parents .
he is independent of his parents .,il est independant de ses parents .
he is aware of the danger .,il est conscient du danger .
he is five feet tall .,il mesure cinq pieds .
he is a man of high social status .,c est un homme de haut rang .
he is fond of gossip .,il adore les potins .
he is fond of gossip .,il adore les cancans .
he is eager to please .,il cherche a plaire .
he is a man of character .,c est un homme de caractere .
he is a devil in human shape .,c est un demon a forme humaine .
he is not guilty of murder .,il n est pas coupable de meurtre .
he is accustomed to speaking in public .,il est habitue a parler en public .
he s used to speaking in public .,il est habitue a parler en public .
he is used to speaking in public .,il a l habitude de parler en public .
he s fed up with socializing .,il en a assez des mondanites .
he is an authority on the humanities .,c est une autorite en matiere d humanites .
he is tremendously handsome .,il est extremement beau .
he is good at mathematics .,il est bon en mathematiques .
he is second to none in mathematics .,il n a pas son pareil en mathematiques .
he is ahead of us in mathematics .,il est devant nous en mathematiques .
he is a potential world champion .,c est un champion du monde en puissance .
he is indifferent to politics .,la politique le laisse indifferent .
he is a sort of politician .,c est une sorte de politicien .
he is justice .,il est la justice .
he is far from honest .,il est loin d etre honnete .
he is far from being honest .,il est loin d etre honnete .
he is too honest to tell a lie .,il est trop honnete pour raconter des mensonges .
he is too honest to tell a lie .,il est trop honnete pour dire un mensonge .
he is a model of honesty .,c est un modele d honnetete .
he is said to be honest .,on dit qu il est honnete .
he is called a walking dictionary .,c est un dictionnaire ambulant .
he is a sharp shooter .,c est un tireur d elite .
he is gentle by nature .,il est gentil par nature .
he is by nature a generous person .,c est par nature une personne genereuse .
he is lazy by nature .,il est naturellement paresseux .
he is reserved by nature .,il est d une nature reservee .
he is by nature an artist .,c est un artiste ne .
he is a poet by birth .,il est ne poete .
he is a greek by birth .,il est grec de naissance .
he is scottish by origin .,il est d origine ecossaise .
he is german by birth .,il est allemand de naissance .
he is japanese by birth .,il est japonais de naissance .
he s leading a dog s life .,il vit une vie de chien .
he is greatly respected by his students .,il est hautement respecte par ses etudiants .
he is very much interested in biology .,il est tres interesse par la biologie .
he is working in the field of biology .,il travaille dans le domaine de la biologie .
he is a biologist .,il est biologiste .
he s always been kind to me .,il a toujours ete bon avec moi .
he is suspected of robbery .,il est suspecte de vol .
he is obstinate in his opinion .,il est obstine .
he is a man of vision .,il est un homme de vision .
he is a born poet .,c est un poete ne .
he is not old enough to vote .,il n est pas assez age pour voter .
he is a promising young man .,c est un jeune homme prometteur .
he is quite a savage .,il est assez sauvage .
he s perfect at everything .,il est parfait en tout .
he is anything but honest .,il est tout sauf honnete .
he is afraid of his grandfather .,il a peur de son grand pere .
he is content with the simple life .,il est content de sa vie simple .
he is barren of creative spirit .,il est depourvu de creativite .
he is a fast speaker .,il parle vite .
he s a crybaby just like always .,c est un pleurnichard comme toujours .
he is known to everyone in the village .,tout le monde le connait dans le village .
he is taller than any other boy .,il est plus grand que les autres garcons .
he is better than anyone else .,il est mieux que quiconque .
he is on another line .,il est sur une autre ligne .
he is endowed with many talents .,il est dote de nombreux talents .
he is confronted by many difficulties .,il est confronte a de nombreuses difficultes .
he is not likely to succeed .,il semble probable qu il echoue .
he is taro s brother .,il est le frere de taro .
he is more famous than taro .,il est plus connu que taro .
he is busier than taro .,il est plus occupe que taro .
he is in good physical condition .,il est en bonne condition physique .
he s well built .,il est bien bati .
he s sitting in the waiting room .,il est assis dans la salle d attente .
he s sitting in the waiting room .,il est assis en salle d attente .
he is inclined to be lazy .,il tend a etre paresseux .
he is a lazy fellow .,c est un type paresseux .
he is a lazy student .,c est un etudiant paresseux .
he s saving up to go to college .,il economise pour pouvoir aller a l universite .
he is fresh from college .,il vient de sortir de l universite .
he is fresh from college .,il est frais emoulu de l ecole .
he is fresh from college .,il est frais emoulu de l universite .
he s a late bloomer .,il est tardivement arrive a maturite .
he is a dramatist .,il est dramaturge .
he is a big eater .,c est un gros mangeur .
he is about your age .,il a environ votre age .
he is close to the president .,il est proche du president .
he is going to run for the presidency .,il sera candidat aux elections presidentielles .
he is such a lazy fellow .,c est une personne terriblement faineante .
he s nice to everybody .,il est gentil avec tout le monde .
he is known to everyone .,il est connu de tous .
he s afraid that he might be late .,il craint d etre en retard .
he is an authority on china .,il est une autorite en chine .
he is eager to go to china .,il est desireux d aller en chine .
he is known to everyone in the town .,tout le monde le connait dans la ville .
he s writing a long letter .,il ecrit une longue lettre .
he is fond of fishing .,il adore pecher .
he is a good loser .,il est bon perdant .
he is a thief .,c est un voleur .
he is alleged to have been a thief .,il aurait ete un voleur .
he is a thorough going egoist .,c est un egoiste complet .
he is a genius .,c est un genie .
he is said to be a genius .,on dit que c est un genie .
he is far from a genius .,il est loin d etre un genie .
he s talking on the telephone .,il parle au telephone .
he is in tokyo .,il est a tokyo .
he is guilty of stealing .,il est coupable de vol .
he is capable of stealing .,il est capable de voler .
he s to stay here for a fortnight .,il a prevu de rester ici quinze jours .
he is thick headed .,il est borne .
he is sharp witted .,il a l esprit vif .
he is an intelligent boy .,c est un garcon intelligent .
he is suffering from a headache .,il souffre d un mal de tete .
he is ready to work .,il est pret a travailler .
he is awkward in his movements .,il est maladroit dans ses mouvements .
he s popular among his colleagues .,il est populaire parmi ses collegues .
he is a man of virtue .,c est un homme vertueux .
he is introverted .,il est introverti .
he is a famous composer .,c est un celebre compositeur .
he s a famous popular singer in japan .,c est un celebre chanteur populaire au japon .
he is a japanese boy .,c est un garcon japonais .
he is familiar with japanese culture .,il est familier de la culture japonaise .
he is not japanese .,il n est pas japonais .
he s a student of japanese literature .,il est etudiant en litterature japonaise .
he s always at home on sundays .,il est toujours chez lui le dimanche .
he is raising tropical fishes .,il eleve des poissons tropicaux .
he is old .,il est vieux .
he is too old to try it .,il est trop vieux pour essayer ca .
he is studying agriculture .,il etudie l agronomie .
he is bankrupt .,il est en faillite .
he is not stupid .,il n est pas idiot .
he is no fool .,il n est pas idiot .
he is no fool .,il n est pas fou .
he is an actor .,c est un acteur .
he is tall and she is tall too .,il est grand et elle aussi .
he is tall fat and always busy .,il est grand gros et toujours occupe .
he is tall and lean .,il est grand et mince .
he is tall and strong .,il est grand et fort .
he is short but strong .,il est petit mais fort .
he s got lung cancer .,il a le cancer des poumons .
he is a friendly person .,c est une personne sympathique .
he s everybody s friend .,il est l ami de tout le monde .
he is beginning to lose his hair .,il commence a perdre ses cheveux .
he is more lucky than clever .,il est plus chanceux qu intelligent .
he is accurate in his judgement .,il est precis dans son jugement .
he is less impatient than his father .,il est moins impatient que son pere .
he is playing in his room .,il joue dans sa chambre .
he is the only child they have .,c est le seul enfant qu ils aient .
he is looked up to as their leader .,il est considere comme leur chef .
he is the oldest of them all .,c est le plus vieux d entre eux .
he is cleverer than they are .,il est plus intelligent qu eux .
he is anxious for her to come .,il est inquiet de sa venue .
he is as tall as her .,il est aussi grand qu elle .
he is as tall as she .,il est aussi grand qu elle .
he is deeply attached to her .,il est tres attache a elle .
he is deeply attached to her .,il lui est tres attache .
he is in love with her .,il est amoureux d elle .
he is jealous of her talent .,il est jaloux de son talent .
he is holding up her work .,il l empeche de faire son travail .
he is enamored of her beauty .,il est amoureux de sa beaute .
he is displeased at her rude behavior .,son comportement vulgaire lui deplait .
he is beneath her in rank .,il a une moins bonne situation qu elle .
he is sensitive to criticism .,il est sensible a la critique .
he is sensitive to criticism .,il est sensible aux critiques .
he is very sensitive to criticism .,il est tres sensible a la critique .
he is too tired to study .,il est trop fatigue pour etudier .
he is overweight .,il est en surpoids .
he is overweight .,il est gros .
he is very learned .,il est tres erudit .
he is very learned .,il est fort erudit .
he is said to be very poor .,on dit qu il est tres pauvre .
he is sure to pass the exam .,il est sur de reussir l examen .
he is absent because of illness .,il est absent pour cause de maladie .
he is afraid of becoming sick .,il a peur de devenir malade .
he is not ashamed of being poor .,il n a pas honte d etre pauvre .
he is subject to insomnia .,il est sujet a de l insomnie .
he is afraid to fly in an airplane .,il a peur de prendre l avion .
he is proud of his father being rich .,il est fier que son pere soit riche .
he is the very image of his father .,c est l image meme de son pere .
he is standing on the stage .,il se tient sur la scene .
he is popular with his men .,il est aime de ses hommes .
he is suffering from a cold .,il souffre d un rhume .
he is said to have a cold .,on dit qu il a un rhume .
he is a man of understanding .,c est un homme comprehensif .
he is slow to learn .,il est lent a apprendre .
he is second to none in physics .,il n a pas son pareil en physique .
he is a physicist .,c est un physicien .
he is a good writer .,c est un bon ecrivain .
he is blind in one eye .,il ne voit pas d un il .
he is blind in one eye .,il est borgne .
he s coming along nicely with his studies .,il progresse bien dans ses etudes .
he is qualified to be a lawyer .,il a des competences d avocat .
he s a quick walker .,c est un marcheur rapide .
he is apt to forget .,il est doue pour oublier .
he is apt to forget .,il a tendance a oublier .
he is wandering around in a trance .,il deambule aux alentours en transe .
he is fond of adventure .,il aime l aventure .
he is not from hokkaido .,il n est pas originaire d hokkaido .
he is my close friend .,c est un ami tres proche .
he is a nice person .,c est une gentille personne .
he is very clever indeed .,il est vraiment tres intelligent .
he is a really good worker .,c est vraiment un bon travailleur .
he s really in good shape .,il est vraiment en bonne forme .
he is a very smart boy .,c est un garcon tres intelligent .
he is the baby of the family .,il est le bebe de la famille .
he is asleep .,il est endormi .
he is nothing more than a dreamer .,il n est qu un reveur .
he is a rude person .,il est malpoli .
he is the president in name only .,il n est president que de nom .
he is a good doctor .,c est un bon docteur .
he is a good doctor .,c est un bon medecin .
he is above suspicion .,il est au dessus de tout soupcon .
i m sure he will come tomorrow .,je suis sur qu il viendra demain .
he is coming to see me tomorrow afternoon .,il viendra me voir demain apres midi .
he is flying to paris tomorrow .,il va a paris en avion demain .
he is generally at home in the evening .,il est normalement chez lui le soir .
he is crazy about baseball .,il est fou de baseball .
he is a baseball player .,c est un joueur de baseball .
he s very good at playing baseball .,il joue tres bien au baseball .
he is a member of the baseball club .,c est un membre du club de baseball .
he is full of ambition .,il est plein d ambition .
he is an actor among actors .,c est un acteur parmi les acteurs .
he is apt to forget his promise .,il est susceptible d oublier sa promesse .
he is kind rather than gentle .,il est gentil plutot que doux .
he is a student at yushu high school .,il est etudiant au lycee yushu .
he is a brave and cheerful boy .,c est un garcon gai et courageux .
he is a brave man .,c est un brave homme .
he is unrivaled in bravery .,sa bravoure est inegalee .
he is generous to his friends .,il est genereux envers ses amis .
he is a capable lawyer .,c est un avocat competent .
he is a promising youth .,c est un jeune plein d avenir .
he is a famous artist .,c est un artiste celebre .
he is eager to become famous .,il est avide de gloire .
he is the son of a wealthy family .,c est le fils d une riche famille .
he is a son of a wealthy family .,il est le fils d une famille fortunee .
he is leaving for new york next week .,il part pour new york la semaine prochaine .
he is the personification of selfishness .,c est l egoisme personnifie .
he is a clever boy .,c est un garcon intelligent .
he is slow of understanding .,il est un peu lent .
he is a man of reason .,c est un homme de raison .
he is a perfect gentleman .,il est ce qu un gentleman devrait etre .
he is an army officer .,il est officier de l armee .
he s in bed with the flu .,la grippe le cloue au lit .
he is used to traveling .,il est accoutume a voyager .
he is making preparations for a trip .,il fait les preparatifs pour un voyage .
he is busy preparing for the trip .,il est occupe a preparer son voyage .
he is busy preparing for the trip .,il s affaire aux preparatifs du voyage .
he is trusted by his parents .,ses parents lui font confiance .
he is good at cooking .,il est bon cuisinier .
he is cool isn t he ?,il est cool pas vrai ?
he is wanting in courtesy .,il est plus que courtois .
he is a good speaker .,c est un bon orateur .
he is a methodical person .,il est methodique .
he is getting old .,il se fait vieux .
he isn t coming either .,il ne vient pas non plus .
i m considering going with them .,je reflechis a aller avec eux .
i am quite ignorant of their plan .,je ne sais rien de leur plan .
they are singers .,ils sont chanteurs .
they re going to ishikawa .,ils vont a ishikawa .
they are actors .,ils sont acteurs .
they are going shopping .,ils vont faire les courses .
they are both good teachers .,ce sont tous les deux de bons professeurs .
they are looking to you for help .,ils attendent que vous les aidiez .
they are looking to you for help .,ils attendent que tu les aides .
they are always short of money .,ils sont toujours a court d argent .
i m sure they ll win .,je suis sur qu ils vont gagner .
i m sure they ll win .,je suis sure qu ils vont gagner .
i m sure they ll win .,je suis sure qu elles vont gagner .
i m sure they ll win .,je suis sur qu elles vont gagner .
they are crazy about jazz .,ils sont dingues de jazz .
they are crazy about jazz .,elles sont dingues de jazz .
they are out shopping .,ils sont sortis faire les magasins .
they are out shopping .,elles sont sorties faire les magasins .
they are playing chess .,ils jouent aux echecs .
they are very kind .,ils sont tres bienveillants .
they are very kind .,elles sont tres bienveillantes .
they are very kind .,ils sont tres gentils .
they are very kind .,elles sont tres gentilles .
they are very cheerful .,ils sont tres joyeux .
they are very cheerful .,elles sont tres joyeuses .
they are very cheerful .,ils sont fort joyeux .
they are very cheerful .,elles sont fort joyeuses .
they are both unmarried .,tous les deux sont celibataires .
they are all of an age .,ils sont tous du meme age .
they are all of an age .,elles sont toutes du meme age .
they are on strike for money .,ils font greve pour obtenir plus d argent .
they are well looked after .,on s occupe bien d eux .
they are typical young people .,c etaient des jeunes gens habituels .
they are plotting to kill the king .,ils complotent pour assassiner le roi .
they are talking about music .,ils parlent de musique .
they are spraying the fruit trees .,ils epandent les arbres fruitiers .
they are suffering from hunger .,ils souffrent de la faim .
they are on the border of starvation .,ils sont au bord de l inanition .
they are all dead .,ils sont tous morts .
they are collecting contributions for the church .,ils collectent des dons pour l eglise .
they are loyal to their master .,ils sont loyaux envers leur maitre .
they are talking with each other .,ils discutent entre eux .
they are running in the park .,ils courent dans le parc .
they are running in the park .,elles courent dans le parc .
they are happy .,ils sont heureux .
they are after happiness .,ils poursuivent le bonheur .
they are immune to attack .,ils sont immunises contre les attaques .
they are running now .,ils courent maintenant .
they are aware of the difficulties .,ils sont conscients des difficultes .
they are suffering financial difficulties .,ils souffrent de difficultes financieres .
they are jealous of our success .,ils sont jaloux de notre succes .
they are jealous of our success .,ils jalousent notre succes .
they are jealous of our success .,elles sont jalouses de notre succes .
they are jealous of our success .,elles jalousent notre succes .
they are much taller than us .,ils sont beaucoup plus grands que nous .
they are my classmates .,ce sont mes camarades de classe .
they are my friends .,ce sont mes amis .
they are my friends .,ce sont mes amies .
they are my friends .,ils sont mes amis .
they are my friends .,elles sont mes amies .
they are about to start .,ils sont sur le point de commencer .
they are about to start .,elles sont sur le point de commencer .
they are in the teachers room .,ils sont en salle des professeurs .
they are in the teachers room .,ils sont en salle des profs .
they are satisfied with the new house .,ils sont satisfaits de la nouvelle maison .
they are willing to help us out .,ils veulent bien nous aider .
they are teachers .,ils sont professeurs .
they are disappointed in their son .,ils sont decus par leur fils .
they are chiseling a statue out of marble .,ils sculptent une statue de marbre .
they are impatient for their lunch .,ils attendent impatiemment le dejeuner .
they are very interested in astronomy .,ils s interessent beaucoup a l astronomie .
they are very interested in astronomy .,ils sont tres interesses par l astronomie .
they are the same age .,ils sont du meme age .
they are the same age .,ils ont le meme age .
they are in the same class .,ils sont dans la meme classe .
they are in the same class .,elles sont dans la meme classe .
they are in the same camp .,ils sont dans le meme camp .
they are a peace loving people .,ce sont des personnes pacifiques .
they re anxious for peace .,ils s inquietent pour la paix .
they re anxious for peace .,elles s inquietent pour la paix .
they are as strong as us .,ils sont de notre force .
they are as strong as us .,ils sont aussi forts que nous .
they re ignoring me .,ils ne me pretent pas attention .
they are very alike to me .,ils me ressemblent beaucoup .
they are proud of their daughter .,ils sont fiers de leur fille .
they are leaving japan tomorrow .,ils quittent le japon demain .
they are gathering nuts .,ils ramassent des noisettes .
they are preparing for their trip .,ils se preparent pour leur voyage .
they re eating high on the hog .,ils menent grand train .
they are very compatible .,ils sont tres compatibles .
they are very compatible .,elles sont tres compatibles .
she is able to speak ten languages .,elle sait parler dix langues .
i am expecting a letter from her .,j attends une lettre de sa part .
she is no match for me .,elle n est pas de taille avec moi .
she is no match for me .,elle ne fait pas le poids avec moi .
we are delighted with her presence .,nous sommes ravis qu elle soit ici .
she s smartly dressed .,elle est habillee elegamment .
i m getting married to her in june .,je vais l epouser au mois de juin .
she is more an acquaintance than a friend .,elle est plus une relation qu une amie .
i m fed up with her .,j en ai marre d elle .
she is dead to pity .,elle est inaccessible a la pitie .
she is dead to pity .,elle est depourvue de la moindre pitie .
she is lacking in common sense .,elle manque de sens commun .
he is foolish to meet her again .,il est stupide de la rencontrer a nouveau .
i am dying to see her again .,j ai tres envie de la revoir .
i am dying to see her again .,je creve d envie de la revoir .
i am attached to her .,je suis attachee a elle .
i am attached to her .,je suis attache a elle .
i m going to propose to her .,je vais la demander en mariage .
i m constantly telling her to behave herself .,je lui dis constamment de bien se comporter .
she s got a point .,elle a un argument .
she s got a point .,elle n a pas tort .
she is wrong .,elle a tort .
she is a woman of great beauty .,c est une femme d une grande beaute .
you re taking advantage of her weakness .,vous tirez avantage de sa faiblesse .
you re taking advantage of her weakness .,tu tires avantage de sa faiblesse .
she is her mother s match in character .,elle tient son caractere de sa mere .
she is not to blame .,elle n est pas a blamer .
she is extremely natural in her manner .,elle a des manieres tres naturelles .
she is always busy on weekdays .,elle est toujours occupee en semaine .
i m astonished by her cleverness .,je suis etonne par son habilete .
she s making progress in cooking .,elle fait des progres en cuisine .
he is not coming according to her .,il ne va pas venir d apres elle .
she is not herself today .,elle n est pas elle meme aujourd hui .
she is indeed a lovely girl .,c est vraiment une fille adorable .
she s not as old as mary .,elle n est pas aussi agee que marie .
she is a doctor .,elle est medecin .
she is a doctor .,elle est toubib .
she is a good english speaker .,elle parle bien anglais .
she is capable of teaching english .,elle peut enseigner l anglais .
she s no singer .,elle n est pas chanteuse .
she is unbelievably naive .,elle est incroyablement naive .
she is accustomed to rising early .,elle est habituee a se lever tot .
she s going to ooita .,elle va a ooita .
she is more pretty than beautiful .,elle est davantage mignonne que belle .
she is good at making up interesting stories .,elle est forte pour inventer des histoires interessantes .
she is thirty one .,elle a ans .
she is eight .,elle a ans .
she s wearing eye shadow .,elle porte de l ombre a paupiere .
she is married to an american .,elle est mariee a un americain .
she is addicted to alcohol .,elle est alcoolique .
she is engaged to a rich man .,elle est fiancee a un homme riche .
she is always neatly dressed .,elle est toujours soigneusement habillee .
she is always neatly dressed .,elle est toujours soigneusement vetue .
she is always kind to everyone .,elle est toujours gentille avec tout le monde .
she is always confusing salt with sugar .,elle confond toujours le sel et le sucre .
she is always bright and smiling .,elle affiche toujours un sourire joyeux .
she is always free in the afternoon .,elle est toujours libre l apres midi .
she is always dressed in black .,elle est toujours habillee en noir .
she is always dressed in black .,elle est toujours vetue de noir .
she is always complaining about my small salary .,elle se plaint toujours de mon faible salaire .
she is always complaining of her job .,elle se plaint toujours de son travail .
she is constantly writing letters .,elle ecrit constamment des lettres .
she s always complaining about the food .,elle se plaint toujours de la nourriture .
she is always busy .,elle est toujours occupee .
she is always cheerful .,elle est toujours gaie .
she is less beautiful than her sister .,elle est moins belle que sa s ur .
she is loaded with sex appeal .,elle a beaucoup de sex appeal .
she is as beautiful as her mother is .,elle est aussi belle que sa mere .
she is less beautiful than her mother is .,elle est moins belle que sa mere .
she is rather poor at tennis .,elle n est pas tres douee au tennis .
she isn t poor .,elle n est pas pauvre .
she is a pretty girl .,c est une fille mignonne .
she is good at playing the guitar .,elle est douee pour jouer de la guitare .
she is certain to pass the exam .,elle est certaine de reussir les examens .
she is certain to come on time .,elle est certaine de venir a temps .
she is a serious person .,c est une personne serieuse .
she is not only beautiful but also intelligent .,elle est non seulement belle mais aussi intelligente .
she is at the top of her class .,elle est la premiere de sa classe .
she is the happiest in her class .,elle est la plus heureuse de la classe .
she is the happiest in her class .,elle est la plus heureuse de sa classe .
she is fond of cake .,elle adore les gateaux .
she is no ordinary singer .,c est une chanteuse pas banale .
she is no ordinary singer .,ce n est pas une chanteuse ordinaire .
she is bored with this novel .,elle s est ennuyee avec ce roman .
she is eager to live in australia .,elle a envie d aller vivre en australie .
she is always finding fault with her husband .,elle trouve toujours des defauts a son mari .
she is able to skate .,elle est capable de patiner .
she s not half attractive .,elle est extremement seduisante .
she is a wonderful wife .,c est une femme magnifique .
she is a wonderful woman .,c est une femme magnifique .
she is more thin than slender .,elle est plus maigre qu elancee .
she isn t adequate to the task .,elle ne convient pas a la tache .
she is working on the problem .,elle travaille sur le probleme .
she is familiar with the subject .,elle connait bien le sujet .
she is going on .,elle va sur ses ans .
she s very beautiful .,elle est tres belle .
she is about my age .,elle a a peu pres mon age .
she is about my age .,elle a environ mon age .
she is usually at home on sundays .,elle est generalement a la maison le dimanche .
she is a typist .,c est une dactylographe .
she is quite angry .,elle est assez fachee .
she is no more than a child .,ce n est encore qu une enfant .
she is a good dancer .,c est une bonne danseuse .
she is getting prettier .,elle devient de plus en plus belle .
she is having dinner now .,elle est en train de diner .
she is a good tennis player .,c est une bonne joueuse de tennis .
she is fond of playing tennis .,elle adore jouer au tennis .
she is good at playing tennis .,elle est douee pour jouer au tennis .
she is very pretty .,elle est tres mignonne .
she is eager to go to france .,elle desire beaucoup aller en france .
she is a very good teacher .,elle est un tres bon professeur .
she is a very poor driver .,elle est une conductrice lamentable .
she s a very interesting person .,elle est une personne tres interessante .
she is very wise .,elle est tres sage .
she is very thoughtful and patient .,elle est vraiment attentive et patiente .
she is a very clever liar .,c est une menteuse tres habile .
she is able to sing very well .,elle sait tres bien chanter .
she is very intelligent .,elle est vraiment intelligente .
she is a student who studies very hard .,c est une etudiante qui etudie serieusement .
she is very sad .,elle est tres triste .
she is very hardworking .,elle est dure a la tache .
she is as busy as a bee .,elle est tres occupee .
she is as busy as a bee .,elle est affairee comme une abeille .
she is very bright .,c est une personne brillante .
she s as busy as tom .,elle est aussi occupee que tom .
she s tom s sister .,elle est la s ur de tom .
she s older than tom .,elle est plus agee que tom .
she is crying .,elle pleure .
she is crying .,elle est en train de pleurer .
she is far from a fool .,elle est loin d etre idiote .
she is far from a fool .,elle est loin d etre stupide .
she is far from a fool .,elle est loin d etre bete .
she is quite a clever girl .,c est une jeune fille assez maligne .
she is looking for her missing wallet .,elle cherche le portefeuille qu elle a perdu .
she is afraid of cats .,elle a peur des chats .
she is easygoing .,c est une femme decontractee .
she is as beautiful as a rose .,elle est aussi belle qu une rose .
she is a pianist .,elle est pianiste .
she is learning the piano .,elle apprend a jouer du piano .
she is exceedingly sensitive to the cold .,elle est extremement sensible au froid .
she is old enough to travel by herself .,elle est assez grande pour voyager toute seule .
she is proficient in french .,elle maitrise le francais .
she is a follower of freud .,elle est un disciple de freud .
she is a computer programmer .,elle est une programmeuse .
she is betty .,c est betty .
she is going to part from her boyfriend .,elle va se separer de son petit ami .
she is my girlfriend .,c est ma copine .
she is nothing but a child .,ce n est rien qu une enfant .
she is getting prettier and prettier .,elle devient de plus en plus jolie .
she is not here yet .,elle n est pas encore la .
she is her old self again .,elle est de nouveau elle meme .
she is a woman of singular beauty .,c est une femme a la beaute singuliere .
she is loved by everybody .,elle est aimee de tous .
she is already married .,elle est deja mariee .
she is after a better job .,elle cherche un meilleur emploi .
she is herself again .,elle est a nouveau elle meme .
she s hyperactive .,elle est hyperactive .
she is gentle .,elle est gentille .
she is on a diet to lose weight .,elle fait un regime pour perdre du poids .
she is curt .,elle n a pas de charme .
she is very afraid of the dark .,elle a tres peur du noir .
she s afraid of the dark .,elle a peur de la nuit .
she is an obstinate girl .,c est une fille obstinee .
she s a big teaser .,c est une taquine .
she is a doctor and also an alpinist .,elle est medecin et aussi alpiniste .
she is not a doctor but a teacher .,elle n est pas medecin mais enseignante .
she is apparently an honest woman .,elle est apparemment une honnete femme .
she is in a word a dreamer .,en un mot c est une reveuse .
she is used to living alone .,elle est habituee a vivre seule .
she is hard at work .,elle travaille dur .
she is secretary to mr uda .,elle est la secretaire de monsieur uda .
she is very fond of gossip .,elle adore les commerages .
she is a good swimmer .,elle est bonne nageuse .
she is a good swimmer .,c est une bonne nageuse .
she is good at swimming .,elle est douee en natation .
she is good at swimming .,elle est bonne en natation .
she is good at speaking english .,elle parle bien anglais .
she is fluent in english and french .,elle parle couramment l anglais et le francais .
she is excellent in english .,elle est excellente en anglais .
she is a quiet woman .,c est une femme tranquille .
she s such a lovely girl !,c est une fille si adorable !
she is quick at everything .,elle est rapide pour tout .
she is quick at everything .,elle est rapide en tout .
she is noted as a singer .,elle est reputee comme chanteuse .
she is very fond of flowers .,elle aime beaucoup les fleurs .
she is watering the flowers .,elle arrose les fleurs .
she is watering the flowers .,elle est en train d arroser les fleurs .
she is dressed like a bride .,elle est habillee en mariee .
she is determined to leave the company .,elle est determinee a quitter l entreprise .
she is living abroad .,elle vit actuellement a l etranger .
she s got a good eye for paintings .,elle a l il pour la peinture .
she is drawing a picture .,elle dessine un dessin .
she is drawing a picture .,elle fait un dessin .
she is married to a foreigner .,elle est mariee a un etranger .
she is a student .,elle est etudiante .
she is a nurse .,elle est infirmiere .
she is not a nurse but a doctor .,elle n est pas infirmiere mais docteur .
she is qualified as a nurse .,c est une infirmiere attitree .
she is in a bad mood .,elle est de mauvaise humeur .
she is aggressive .,elle est agressive .
she is going to learn how to drive .,elle va apprendre a conduire .
she is said to have been rich .,on dit qu elle etait riche .
she is a wealthy woman .,c est une femme riche .
she is a blonde girl .,c est une fille blonde .
she is almost as tall as you .,elle est presque aussi grande que vous .
